Accession	Geographic Location	Geographic Region	Completeness	Length	Virus Pangolin Classification	Isolate Collection date
OQ050675.1	Nigeria	Africa	PARTIAL	29795	B.1.1	2020-12-04
OQ050674.1	Nigeria	Africa	PARTIAL	29805	B.1.1	2020-12-04
OQ050673.1	Nigeria	Africa	PARTIAL	29817	B.1.1	2020-12-04
OQ050670.1	Nigeria	Africa	PARTIAL	29853	B.1.1	2020-12-03
OQ050657.1	Nigeria	Africa	PARTIAL	29835	B.1.1	2020-05-09
OQ050651.1	Nigeria	Africa	PARTIAL	29718	B.1.1	2020-12-21
OQ050641.1	Nigeria	Africa	COMPLETE	29900	B.1.1	2021-01-13
OQ050633.1	Nigeria	Africa	PARTIAL	29825	B.1.1	2020-05-19
OQ050627.1	Nigeria	Africa	COMPLETE	29823	B.1.1	2020-12-16
OQ050618.1	Nigeria	Africa	COMPLETE	29895	B.1.1	2020-04-24
OQ050595.1	Nigeria	Africa	COMPLETE	29841	B.1.1	2020-05-14
OQ050588.1	Nigeria	Africa	COMPLETE	29731	B.1.1	2020-12-01
OQ050576.1	Nigeria	Africa	COMPLETE	29841	B.1.1	2020-08-07
OQ050552.1	Nigeria	Africa	PARTIAL	29287	B.1.1	2020-07-12
OQ050550.1	Nigeria	Africa	PARTIAL	29364	B.1.1	2020-07-12
OQ050548.1	Nigeria	Africa	PARTIAL	29729	B.1.1	2020-07-10
OQ050547.1	Nigeria	Africa	PARTIAL	29705	B.1.1	2020-06-15
OQ050543.1	Nigeria	Africa	COMPLETE	29822	B.1.1	2020-05-22
OQ050541.1	Nigeria	Africa	COMPLETE	29841	B.1.1	2020-05-27
OQ050539.1	Nigeria	Africa	COMPLETE	29842	B.1.1	2020-05-16
OQ050538.1	Nigeria	Africa	COMPLETE	29841	B.1.1	2020-05
OQ050536.1	Nigeria	Africa	COMPLETE	29809	B.1.1	2020-05
OQ050535.1	Nigeria	Africa	COMPLETE	29860	B.1.1	2020-05-16
OQ050534.1	Nigeria	Africa	COMPLETE	29837	B.1.1	2020-05-14
OQ050532.1	Nigeria	Africa	PARTIAL	29802	B.1.1	2020-04-20
OQ050530.1	Nigeria	Africa	COMPLETE	29845	B.1.1	2020-04-25
OQ050529.1	Nigeria	Africa	PARTIAL	29796	B.1.1	2020-07-09
OQ050523.1	Nigeria	Africa	PARTIAL	29727	B.1.1	2020-06-26
OQ050522.1	Nigeria	Africa	COMPLETE	29838	B.1.1	2020-06-26
OQ050511.1	Nigeria	Africa	PARTIAL	29808	B.1.1	2020-05-16
OQ050501.1	Nigeria	Africa	PARTIAL	29803	B.1.1	2020-04-27
OQ050490.1	Nigeria	Africa	PARTIAL	29813	B.1.1	2020-07-17
OQ050487.1	Nigeria	Africa	PARTIAL	29825	B.1.1	2020-06-29
OQ050485.1	Nigeria	Africa	PARTIAL	29810	B.1.1	2020-06-25
OQ050483.1	Nigeria	Africa	COMPLETE	29881	B.1.1	2020-10-12
OQ050482.1	Nigeria	Africa	PARTIAL	29802	B.1.1	2020-10-09
OQ050481.1	Nigeria	Africa	PARTIAL	29826	B.1.1	2020-10-11
OQ050480.1	Nigeria	Africa	COMPLETE	29847	B.1.1	2020-10-05
OQ050479.1	Nigeria	Africa	PARTIAL	29735	B.1.1	2020-08-17
OQ050474.1	Nigeria	Africa	COMPLETE	29872	B.1.1	2020-08-07
OQ050472.1	Nigeria	Africa	COMPLETE	29896	B.1.1	2020-08-03
OQ050469.1	Nigeria	Africa	COMPLETE	29890	B.1.1	2020-07-07
OQ050466.1	Nigeria	Africa	COMPLETE	29830	B.1.1	2020-06-30
OQ050463.1	Nigeria	Africa	COMPLETE	29866	B.1.1	2020-06-24
OQ050447.1	Nigeria	Africa	COMPLETE	29828	B.1.1	2020-05-16
OQ050446.1	Nigeria	Africa	PARTIAL	29875	B.1.1	2020-05-14
OQ050445.1	Nigeria	Africa	COMPLETE	29898	B.1.1	2020-05-14
OQ050442.1	Nigeria	Africa	COMPLETE	29873	B.1.1	2020-05-14
OQ050441.1	Nigeria	Africa	COMPLETE	29898	B.1.1	2020-05-16
OQ050440.1	Nigeria	Africa	COMPLETE	29856	B.1.1	2020-04-25
OQ050433.1	Nigeria	Africa	COMPLETE	29903	B.1.1	2020-07-10
OQ050427.1	Nigeria	Africa	COMPLETE	29897	B.1.1	2020-07-07
OQ050415.1	Nigeria	Africa	COMPLETE	29831	B.1.1	2020-05-04
OQ050412.1	Nigeria	Africa	PARTIAL	29759	B.1.1	2020-02-27
OQ050410.1	Nigeria	Africa	COMPLETE	29897	B.1.1	2020-06-17
OQ050407.1	Nigeria	Africa	PARTIAL	29822	B.1.1	2020-06-16
OQ050406.1	Nigeria	Africa	COMPLETE	29870	B.1.1	2020-06-13
OQ050405.1	Nigeria	Africa	COMPLETE	29845	B.1.1	2020-06-13
OQ050404.1	Nigeria	Africa	PARTIAL	29831	B.1.1	2020-06-13
OQ050403.1	Nigeria	Africa	PARTIAL	29837	B.1.1	2020-06-13
OQ050402.1	Nigeria	Africa	PARTIAL	29763	B.1.1	2020-06-09
OQ050399.1	Nigeria	Africa	PARTIAL	29792	B.1.1	2020-06-11
OQ050398.1	Nigeria	Africa	COMPLETE	29783	B.1.1	2020-06-12
OQ050397.1	Nigeria	Africa	COMPLETE	29798	B.1.1	2020-06-13
OQ050396.1	Nigeria	Africa	PARTIAL	29830	B.1.1	2020-06-11
OQ050394.1	Nigeria	Africa	COMPLETE	29846	B.1.1	2020-06-12
OQ050393.1	Nigeria	Africa	PARTIAL	29825	B.1.1	2020-06-09
OQ050390.1	Nigeria	Africa	COMPLETE	29872	B.1.1	2020-04-18
OQ050378.1	Nigeria	Africa	COMPLETE	29856	B.1.1	2020-06-16
OQ050374.1	Nigeria	Africa	COMPLETE	29898	B.1.1	2020-06-17
OQ050332.1	Nigeria	Africa	PARTIAL	29892	B.1.1	2020-06-06
OQ050322.1	Nigeria	Africa	PARTIAL	29769	B.1.1	2021-03-11
OQ050310.1	Nigeria	Africa	PARTIAL	29729	B.1.1	2021-02-25
OQ050300.1	Nigeria	Africa	COMPLETE	29856	B.1.1	2020-06-02
OQ050297.1	Nigeria	Africa	COMPLETE	29859	B.1.1	2020-06-01
OQ050276.1	Nigeria	Africa	PARTIAL	29711	B.1.1	2021-01-03
OP862969.1	South Africa: Northern Cape	Africa	COMPLETE	29776	B.1.1	2020-06-15
OP711939.1	Kenya	Africa	PARTIAL	29714	B.1.1	2020-07-27
OP711938.1	Kenya	Africa	PARTIAL	29714	B.1.1	2020-07-27
OP711937.1	Kenya	Africa	PARTIAL	29714	B.1.1	2020-07-27
OP581784.1	Gambia	Africa	PARTIAL	29770	B.1.1	2021-01-02
OP581759.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-02-12
OP581758.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-02-11
OP581754.1	Gambia	Africa	PARTIAL	29773	B.1.1	2021-02-22
OP581751.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-02-20
OP581740.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-02-07
OP581739.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-02-21
OP581702.1	Gambia	Africa	COMPLETE	29782	B.1.1	2021-07-27
OP581642.1	Gambia	Africa	PARTIAL	29491	B.1.1	2021-03-17
OP581641.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-03-17
OP581634.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-03-17
OP581626.1	Gambia	Africa	PARTIAL	29486	B.1.1	2021-02-08
OP581587.1	Gambia	Africa	PARTIAL	29171	B.1.1	2021-02-22
OP581586.1	Gambia	Africa	COMPLETE	29782	B.1.1	2021-02-21
OP581579.1	Gambia	Africa	PARTIAL	29781	B.1.1	2021-02-18
OP581567.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-01-30
OP581562.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-01-28
OP581546.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-01-29
OP581545.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-01-29
OP581538.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-01-27
OP581534.1	Gambia	Africa	PARTIAL	29781	B.1.1	2021-01-26
OP581527.1	Gambia	Africa	PARTIAL	29601	B.1.1	2021-01-23
OP581526.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-01-21
OP581525.1	Gambia	Africa	PARTIAL	29611	B.1.1	2020-08-04
OP581514.1	Gambia	Africa	PARTIAL	29775	B.1.1	2021-01-21
OP581487.1	Gambia	Africa	PARTIAL	29781	B.1.1	2021-01-14
OP581485.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-01-13
OP581484.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-01-14
OP581481.1	Gambia	Africa	PARTIAL	29782	B.1.1	2021-01-13
OP522549.1	South Africa: Northern Cape	Africa	PARTIAL	29776	B.1.1	2020-06-29
OP053569.1	South Africa: Western Cape	Africa	PARTIAL	29761	B.1.1	2021-05-26
OP001538.1	Kenya	Africa	PARTIAL	29494	B.1.1	2020-10-30
OP001510.1	Kenya	Africa	PARTIAL	29494	B.1.1	2020-12-28
OP001435.1	Kenya	Africa	PARTIAL	29772	B.1.1	2021-04-16
ON647564.1	South Africa: Western Cape	Africa	COMPLETE	29776	B.1.1	2020-05-08
ON322581.1	South Africa	Africa	COMPLETE	29776	B.1.1	2020-07-08
ON287295.1	South Africa	Africa	COMPLETE	29776	B.1.1	2020-05-25
ON287288.1	South Africa	Africa	COMPLETE	29776	B.1.1	2020-06-21
ON078364.1	South Africa: Western Cape	Africa	COMPLETE	29776	B.1.1	2020-06-12
OM766137.1	South Africa	Africa	COMPLETE	29816	B.1.1	2020-03-18
OM765595.1	South Africa	Africa	COMPLETE	29768	B.1.1	2021-06-11
OM765589.1	South Africa	Africa	PARTIAL	29768	B.1.1	2021-06-08
OM765444.1	South Africa	Africa	PARTIAL	29804	B.1.1	2021-05-08
OM765386.1	South Africa	Africa	PARTIAL	29783	B.1.1	2020-10-12
OM739704.1	South Africa	Africa	PARTIAL	29832	B.1.1	2020-11-30
OM739699.1	South Africa	Africa	PARTIAL	29866	B.1.1	2020-11-17
OM739602.1	South Africa	Africa	COMPLETE	29759	B.1.1	2021-01-06
OM739574.1	South Africa	Africa	PARTIAL	29784	B.1.1	2021-01-06
OM739552.1	South Africa	Africa	COMPLETE	29819	B.1.1	2021-01-05
OM739551.1	South Africa	Africa	PARTIAL	29824	B.1.1	2020-12-21
OM739550.1	South Africa	Africa	COMPLETE	29813	B.1.1	2020-12-21
OM739549.1	South Africa	Africa	COMPLETE	29848	B.1.1	2020-12-18
OM739548.1	South Africa	Africa	PARTIAL	29848	B.1.1	2020-12-18
OM739450.1	South Africa	Africa	COMPLETE	29853	B.1.1	2020-12-22
OM739426.1	South Africa	Africa	COMPLETE	29809	B.1.1	2020-12-23
OM739416.1	South Africa	Africa	COMPLETE	29804	B.1.1	2020-12-22
OM739313.1	South Africa	Africa	PARTIAL	29814	B.1.1	2020-12-09
OM739270.1	South Africa	Africa	PARTIAL	29651	B.1.1	2020-12-02
OM739234.1	South Africa	Africa	PARTIAL	29812	B.1.1	2020-11-30
OM739174.1	South Africa	Africa	PARTIAL	29797	B.1.1	2020-06-21
OM739173.1	South Africa	Africa	PARTIAL	29865	B.1.1	2020-07-07
OM739169.1	South Africa	Africa	COMPLETE	29850	B.1.1	2020-10-10
OM739168.1	South Africa	Africa	COMPLETE	29813	B.1.1	2020-10-09
OM739167.1	South Africa	Africa	COMPLETE	29818	B.1.1	2020-10-09
OM739166.1	South Africa	Africa	PARTIAL	29813	B.1.1	2020-10-07
OM739165.1	South Africa	Africa	PARTIAL	29813	B.1.1	2020-10-07
OM739155.1	South Africa	Africa	PARTIAL	29851	B.1.1	2020-10-09
OM739150.1	South Africa	Africa	PARTIAL	29794	B.1.1	2020-10-09
OM739134.1	South Africa	Africa	PARTIAL	29834	B.1.1	2020-10-09
OM739131.1	South Africa	Africa	PARTIAL	29804	B.1.1	2020-10-07
OM739127.1	South Africa	Africa	COMPLETE	29811	B.1.1	2020-09-29
OM739126.1	South Africa	Africa	COMPLETE	29815	B.1.1	2020-09-28
OM739117.1	South Africa	Africa	PARTIAL	29826	B.1.1	2020-10-01
OM739104.1	South Africa	Africa	PARTIAL	29837	B.1.1	2020-05-14
OM739098.1	South Africa	Africa	COMPLETE	29865	B.1.1	2020-05-07
OM739088.1	South Africa	Africa	COMPLETE	29834	B.1.1	2020-06-06
OM739085.1	South Africa	Africa	PARTIAL	29815	B.1.1	2020-06-05
OM739075.1	South Africa	Africa	COMPLETE	29865	B.1.1	2020-09-25
OM739073.1	South Africa	Africa	COMPLETE	29813	B.1.1	2020-09-21
OM739071.1	South Africa	Africa	COMPLETE	29817	B.1.1	2020-09-23
OM739059.1	South Africa	Africa	COMPLETE	29826	B.1.1	2020-09-22
OM739058.1	South Africa	Africa	PARTIAL	29815	B.1.1	2020-09-22
OM739056.1	South Africa	Africa	COMPLETE	29815	B.1.1	2020-09-18
OM739055.1	South Africa	Africa	COMPLETE	29815	B.1.1	2020-09-16
OM739038.1	South Africa	Africa	PARTIAL	29812	B.1.1	2020-08-29
OM738232.1	Kenya: Kiambu	Africa	PARTIAL	29764	B.1.1	2020-11-09
OM731997.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-07-02
OM731996.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-06-24
OM731995.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-06-24
OM731994.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-18
OM731993.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-19
OM731992.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-06
OM731991.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-06
OM731990.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-06
OM731989.1	Gabon	Africa	COMPLETE	29684	B.1.1	2020-05-05
OM731988.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-04
OM731986.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-04
OM731983.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-04-20
OM731982.1	Gabon	Africa	COMPLETE	29705	B.1.1	2020-04-20
OM731978.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-13
OM731977.1	Gabon	Africa	PARTIAL	29696	B.1.1	2020-05-11
OM731976.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-11
OM731975.1	Gabon	Africa	PARTIAL	29689	B.1.1	2020-05-11
OM731974.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-11
OM731973.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-11
OM731972.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-11
OM731971.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-10
OM731970.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-10
OM731969.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-10
OM731968.1	Gabon	Africa	PARTIAL	29460	B.1.1	2020-05-08
OM731967.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-08
OM731966.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-08
OM731965.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-08
OM731964.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-08
OM731963.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-08
OM731962.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-08
OM731961.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-08
OM731960.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-08
OM731958.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-07
OM731957.1	Gabon	Africa	PARTIAL	29676	B.1.1	2020-05-07
OM731956.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-07
OM731955.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-07
OM731954.1	Gabon	Africa	COMPLETE	29689	B.1.1	2020-05-07
OM731953.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-06
OM731952.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-06
OM731951.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-06
OM731950.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-06
OM731949.1	Gabon	Africa	PARTIAL	29460	B.1.1	2020-05-06
OM731946.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-06-18
OM731945.1	Gabon	Africa	PARTIAL	29539	B.1.1	2020-06-19
OM731944.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-06-19
OM731943.1	Gabon	Africa	PARTIAL	29702	B.1.1	2020-05-27
OM731942.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-27
OM731941.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-05-13
OM731939.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-03-27
OM731938.1	Gabon	Africa	COMPLETE	29702	B.1.1	2020-03-27
OM725645.1	South Africa	Africa	PARTIAL	29823	B.1.1	2020-09-04
OM725644.1	South Africa	Africa	PARTIAL	29856	B.1.1	2020-09-04
OM725643.1	South Africa	Africa	PARTIAL	29835	B.1.1	2020-09-04
OM725634.1	South Africa	Africa	COMPLETE	29833	B.1.1	2020-11-19
OM725620.1	South Africa	Africa	COMPLETE	29837	B.1.1	2020-08-11
OM725543.1	South Africa	Africa	COMPLETE	29823	B.1.1	2020-11-05
OM725541.1	South Africa	Africa	PARTIAL	29816	B.1.1	2020-07-29
OM725527.1	South Africa	Africa	PARTIAL	29803	B.1.1	2020-11-06
OM725517.1	South Africa	Africa	COMPLETE	29824	B.1.1	2020-11-05
OM725516.1	South Africa	Africa	COMPLETE	29822	B.1.1	2020-11-05
OM725491.1	South Africa	Africa	PARTIAL	29813	B.1.1	2020-10-30
OM725484.1	South Africa	Africa	PARTIAL	29816	B.1.1	2020-10-28
OM725464.1	South Africa	Africa	COMPLETE	29849	B.1.1	2020-10-30
OM725459.1	South Africa	Africa	COMPLETE	29830	B.1.1	2020-10-28
OM725457.1	South Africa	Africa	PARTIAL	29824	B.1.1	2020-10-26
OM725451.1	South Africa	Africa	PARTIAL	29665	B.1.1	2020-10-26
OM725447.1	South Africa	Africa	PARTIAL	29767	B.1.1	2020-10-25
OM725441.1	South Africa	Africa	PARTIAL	29797	B.1.1	2020-10-18
OM725438.1	South Africa	Africa	PARTIAL	29817	B.1.1	2020-10-15
OM725420.1	South Africa	Africa	COMPLETE	29810	B.1.1	2020-10-12
OM725415.1	South Africa	Africa	COMPLETE	29793	B.1.1	2020-10-12
OM725413.1	South Africa	Africa	COMPLETE	29801	B.1.1	2020-10-12
OM725412.1	South Africa	Africa	COMPLETE	29824	B.1.1	2020-10-12
OM725410.1	South Africa	Africa	PARTIAL	29647	B.1.1	2020-10-12
OM725402.1	South Africa	Africa	COMPLETE	29816	B.1.1	2020-10-25
OM725376.1	South Africa	Africa	COMPLETE	29818	B.1.1	2020-10-21
OM725375.1	South Africa	Africa	COMPLETE	29833	B.1.1	2020-10-20
OM725365.1	South Africa	Africa	PARTIAL	29784	B.1.1	2020-07-06
OM725360.1	South Africa	Africa	COMPLETE	29817	B.1.1	2020-04-01
OM725358.1	South Africa	Africa	PARTIAL	29818	B.1.1	2020-03-30
OM725354.1	South Africa	Africa	COMPLETE	29826	B.1.1	2020-03-27
OM725353.1	South Africa	Africa	PARTIAL	29659	B.1.1	2020-03-27
OM725352.1	South Africa	Africa	COMPLETE	29834	B.1.1	2020-03-27
OM725351.1	South Africa	Africa	COMPLETE	29824	B.1.1	2020-03-27
OM725332.1	South Africa	Africa	PARTIAL	29809	B.1.1	2020-08-22
OM725326.1	South Africa	Africa	COMPLETE	29829	B.1.1	2020-08-19
OM725325.1	South Africa	Africa	PARTIAL	29815	B.1.1	2020-08-19
OM725318.1	South Africa	Africa	PARTIAL	29823	B.1.1	2020-08-11
OM725317.1	South Africa	Africa	COMPLETE	29835	B.1.1	2020-08-11
OM725156.1	South Africa	Africa	PARTIAL	29775	B.1.1	2021-11-19
OM720907.1	South Africa	Africa	COMPLETE	29856	B.1.1	2021-04-26
OM720863.1	South Africa	Africa	COMPLETE	29799	B.1.1	2020-06-24
OM720857.1	South Africa	Africa	COMPLETE	29813	B.1.1	2020-06-01
OM720856.1	South Africa	Africa	COMPLETE	29816	B.1.1	2020-05-29
OM720851.1	South Africa	Africa	COMPLETE	29824	B.1.1	2020-05-24
OM720850.1	South Africa	Africa	COMPLETE	29860	B.1.1	2020-05-24
OM720836.1	South Africa	Africa	COMPLETE	29831	B.1.1	2020-05-11
OM720833.1	South Africa	Africa	COMPLETE	29823	B.1.1	2020-05-06
OM720832.1	South Africa	Africa	COMPLETE	29837	B.1.1	2020-05-06
OM720831.1	South Africa	Africa	COMPLETE	29831	B.1.1	2020-05-05
OM720830.1	South Africa	Africa	COMPLETE	29821	B.1.1	2020-05-05
OM720824.1	South Africa	Africa	PARTIAL	29856	B.1.1	2020-05-03
OM720782.1	South Africa	Africa	PARTIAL	29655	B.1.1	2021-06-29
OL915228.1	Kenya	Africa	PARTIAL	29782	B.1.1	2021-01-24
OL915198.1	Kenya	Africa	PARTIAL	29782	B.1.1	2021-01-27
OL915068.1	Kenya	Africa	PARTIAL	29779	B.1.1	2020-10-13
OL915024.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-08-11
OL915018.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-08-05
OL915017.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-08-05
OL915016.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-08-05
OL915015.1	Kenya	Africa	PARTIAL	29773	B.1.1	2020-08-05
OL915014.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-08-05
OL914981.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-08-21
OL914966.1	Kenya	Africa	PARTIAL	29494	B.1.1	2020-08-15
OL914960.1	Kenya	Africa	PARTIAL	29494	B.1.1	2020-05-18
OL914959.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-05-18
OL914958.1	Kenya	Africa	PARTIAL	29494	B.1.1	2020-05-20
OL914953.1	Kenya	Africa	PARTIAL	29494	B.1.1	2020-05-17
OL914690.1	Kenya	Africa	PARTIAL	29782	B.1.1	2021-03-18
OL914689.1	Kenya	Africa	PARTIAL	29776	B.1.1	2021-03-18
OL914684.1	Kenya	Africa	PARTIAL	29782	B.1.1	2021-03-17
OL914676.1	Kenya	Africa	PARTIAL	29782	B.1.1	2021-03-16
OL914671.1	Kenya	Africa	PARTIAL	29781	B.1.1	2021-03-15
OL914613.1	Kenya	Africa	PARTIAL	29782	B.1.1	2021-01-06
OL913335.1	Kenya	Africa	PARTIAL	29764	B.1.1	2021-03-02
OL913327.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-03-29
OL913326.1	Kenya	Africa	COMPLETE	29782	B.1.1	2020-03-29
OL913320.1	Kenya	Africa	PARTIAL	29611	B.1.1	2020-03-23
OL913313.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-03
OL913301.1	Kenya	Africa	PARTIAL	29768	B.1.1	2021-03-08
OL913298.1	Kenya	Africa	PARTIAL	29768	B.1.1	2021-03-08
OL913207.1	Kenya	Africa	COMPLETE	29782	B.1.1	2020-11-11
OL913201.1	Kenya	Africa	PARTIAL	29782	B.1.1	2020-11-09
OL912995.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-11-18
OL739796.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-11-26
OL739795.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-11-26
OL739794.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-11-26
OL739793.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-11-26
OL739792.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-11-26
OL739738.1	Kenya	Africa	PARTIAL	29483	B.1.1	2021-06-23
OL601963.1	Mali: Sikasso Region	Africa	PARTIAL	29777	B.1.1	2021-07-31
OL601857.1	Nigeria: Oyo	Africa	PARTIAL	29751	B.1.1	2021-04-19
OL601848.1	Nigeria: Oyo	Africa	PARTIAL	29751	B.1.1	2021-03-06
OL601645.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-17
OL601644.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-17
OL601643.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-17
OL601642.1	Nigeria: Oyo	Africa	COMPLETE	29778	B.1.1	2020-07-17
OL601641.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-17
OL601640.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-17
OL601639.1	Nigeria: Oyo	Africa	PARTIAL	29781	B.1.1	2020-07-17
OL601635.1	Nigeria: Oyo	Africa	PARTIAL	29781	B.1.1	2020-07-17
OL601634.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-17
OL601633.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-17
OL601632.1	Nigeria: Oyo	Africa	PARTIAL	29781	B.1.1	2020-07-17
OL601631.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-16
OL601630.1	Nigeria: Oyo	Africa	PARTIAL	29781	B.1.1	2020-07-16
OL601629.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-16
OL601626.1	Nigeria: Oyo	Africa	PARTIAL	29781	B.1.1	2020-07-15
OL601624.1	Nigeria: Oyo	Africa	COMPLETE	29775	B.1.1	2020-07-15
OL601623.1	Nigeria: Oyo	Africa	COMPLETE	29781	B.1.1	2020-07-15
OL548983.1	Kenya	Africa	PARTIAL	29782	B.1.1	2021-01-04
OL454633.1	Kenya	Africa	PARTIAL	29774	B.1.1	2020-10-29
OL454632.1	Kenya	Africa	PARTIAL	29774	B.1.1	2020-10-29
OL454627.1	Kenya	Africa	COMPLETE	29777	B.1.1	2020-10-28
OL454567.1	Kenya	Africa	PARTIAL	29774	B.1.1	2020-10-22
OL454566.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-22
OL454565.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-22
OL454564.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-22
OL454557.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-15
OL454556.1	Kenya	Africa	COMPLETE	29777	B.1.1	2020-10-15
OL454555.1	Kenya	Africa	PARTIAL	29774	B.1.1	2020-10-15
OL454554.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-10-15
OL454553.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-15
OL454552.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-10-15
OL454551.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-15
OL454550.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-10-15
OL454549.1	Kenya	Africa	PARTIAL	29774	B.1.1	2020-10-15
OL454548.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-15
OL454547.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-15
OL454546.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-15
OL454545.1	Kenya	Africa	COMPLETE	29774	B.1.1	2020-10-15
OL454544.1	Kenya	Africa	PARTIAL	29777	B.1.1	2020-10-15
OL454543.1	Kenya	Africa	PARTIAL	29770	B.1.1	2020-10-15
